iter	Logloss
0	0.6543189393
1	0.6230631922
2	0.593243457
3	0.5650057937
4	0.5420107323
5	0.5198550259
6	0.4990511057
7	0.4814587847
8	0.466060498
9	0.4538850322
10	0.4416265551
11	0.4310562575
12	0.4206622566
13	0.411937748
14	0.403981222
15	0.3977329497
16	0.3921903246
17	0.386348095
18	0.382076786
19	0.3779815817
20	0.3742188194
21	0.3703137332
22	0.3661706629
23	0.3630001234
24	0.3592558083
25	0.3567844369
26	0.3551898631
27	0.3526321421
28	0.3498993576
29	0.3479606372
30	0.3462598198
31	0.3445728909
32	0.3425420243
33	0.3408307316
34	0.3390892779
35	0.3376568342
36	0.3365944077
37	0.3350347444
38	0.333675914
39	0.3325861196
40	0.3316730721
41	0.3310895796
42	0.3299613446
43	0.3288628745
44	0.3275167519
45	0.3270244948
46	0.3264273687
47	0.3256375495
48	0.3249486775
49	0.3245051816
50	0.3239215661
51	0.3230174082
52	0.3223591234
53	0.3217554409
54	0.3207414039
55	0.3202471163
56	0.3197676901
57	0.3192060992
58	0.3185468858
59	0.3180447398
60	0.317411782
61	0.3168178312
62	0.3161901048
63	0.3158533833
64	0.3152147222
65	0.3145592631
66	0.3141381313
67	0.3136144363
68	0.3132600702
69	0.312731939
70	0.312301439
71	0.3118097555
72	0.3114153786
73	0.3111568142
74	0.3107273878
75	0.3103792796
76	0.310029845
77	0.3093697857
78	0.3090256499
79	0.3087099267
80	0.3084534309
81	0.3082273172
82	0.3080135587
83	0.3076811663
84	0.3073182289
85	0.3070252557
86	0.3067489861
87	0.3061839999
88	0.3058769151
89	0.3053793651
90	0.3051668511
91	0.3048907835
92	0.3046028611
93	0.3043367727
94	0.3040994413
95	0.3038939721
96	0.303591857
97	0.3029545241
98	0.302803271
99	0.3026014908
100	0.3023081922
101	0.302183095
102	0.302019072
103	0.3019026202
104	0.3017554131
105	0.3015937793
106	0.3014777672
107	0.3011928267
108	0.3009731049
109	0.300862225
110	0.3004640835
111	0.3002702266
112	0.3001189446
113	0.2997923439
114	0.2995865473
115	0.2993464203
116	0.2992644259
117	0.2990568328
118	0.2988670309
119	0.2987317223
120	0.2985641881
121	0.2983783368
122	0.2982730142
123	0.2980918905
124	0.2979355895
125	0.2978309831
126	0.2977027166
127	0.2975389397
128	0.2974454535
129	0.2972696019
130	0.297063724
131	0.2969185529
132	0.2965217002
133	0.2962416462
134	0.2960456236
135	0.2958825643
136	0.2957725609
137	0.2955999919
138	0.2955516346
139	0.2954731864
140	0.2953316697
141	0.2952624745
142	0.295150323
143	0.2950601079
144	0.2948394167
145	0.2943006925
146	0.2941569277
147	0.294011792
148	0.2938997589
149	0.2937828418
150	0.2936947336
151	0.2935719619
152	0.2934482984
153	0.2932970786
154	0.2932104593
155	0.2931482046
156	0.2930026309
157	0.2929181048
158	0.2928141846
159	0.2926858464
160	0.2926360268
161	0.2925411467
162	0.2924868445
163	0.2923230726
164	0.2921814465
165	0.2921103312
166	0.2920126957
167	0.2919160053
168	0.2918383518
169	0.2917725267
170	0.2916969092
171	0.2915929106
172	0.2915512599
173	0.2914614118
174	0.2913832904
175	0.2912139892
176	0.2911090806
177	0.2910477555
178	0.2909800546
179	0.2908525031
180	0.2907297646
181	0.290682251
182	0.290636335
183	0.2904738322
184	0.2904027309
185	0.2903551851
186	0.2903116416
187	0.2901560757
188	0.2901252302
189	0.2900541224
190	0.2899829127
191	0.2899086321
192	0.2898505308
193	0.2897611825
194	0.2896832578
195	0.2895953599
196	0.289496959
197	0.2893935504
198	0.2893215183
199	0.2892826263
200	0.2891327871
201	0.2890457492
202	0.2889508012
203	0.2888880673
204	0.2887579937
205	0.2886625987
206	0.2885605065
207	0.2884970056
208	0.2882643635
209	0.2881608228
210	0.2881070998
211	0.2878570309
212	0.287751646
213	0.2876378614
214	0.2875957392
215	0.287467144
216	0.2874039007
217	0.2872845933
218	0.287231332
219	0.2871491733
220	0.287089372
221	0.2870153335
222	0.2869413731
223	0.2868696385
224	0.2868280819
225	0.2867704709
226	0.2867660391
227	0.286710817
228	0.2866330751
229	0.2865487238
230	0.2863785076
231	0.2862771435
232	0.2861370201
233	0.2860605236
234	0.2860008878
235	0.2859003347
236	0.2858313525
237	0.2855270086
238	0.2854057765
239	0.2853494223
240	0.2852956298
241	0.2852235186
242	0.285025334
243	0.2849633765
244	0.2849105842
245	0.2848343907
246	0.2847800339
247	0.2847087683
248	0.2846676686
249	0.2845810458
250	0.2844994628
251	0.2844374374
252	0.2843810372
253	0.2843276721
254	0.2842432961
255	0.2841909732
256	0.2841047719
257	0.2840422048
258	0.283979901
259	0.2839221295
260	0.2836433996
261	0.2835545078
262	0.283479744
263	0.2834004385
264	0.2829822725
265	0.2829037358
266	0.2828488847
267	0.2827501187
268	0.2826484328
269	0.2825885924
270	0.2824415871
271	0.2823767858
272	0.2823051348
273	0.2822444783
274	0.2820340194
275	0.2819785728
276	0.2819152021
277	0.2818698589
278	0.2818235617
279	0.2816512829
280	0.2813086914
281	0.2812589619
282	0.2811975283
283	0.2811398484
284	0.2810902853
285	0.2809918058
286	0.2808413025
287	0.2807769143
288	0.2806864827
289	0.2806178664
290	0.2805749773
291	0.2804623279
292	0.2804279421
293	0.2803932569
294	0.2803617688
295	0.2802999016
296	0.280211395
297	0.2801661313
298	0.2801142337
299	0.2800279858
300	0.2799135377
301	0.2798296597
302	0.2797528064
303	0.2794954018
304	0.2794354498
305	0.2793914507
306	0.2793305204
307	0.279277315
308	0.2792181688
309	0.2791902166
310	0.2789688164
311	0.2789212217
312	0.2788538613
313	0.2787833358
314	0.2786703817
315	0.2782901166
316	0.2782028321
317	0.2781524145
318	0.2780771648
319	0.2777293385
320	0.277653804
321	0.2775781996
322	0.2772735402
323	0.277240149
324	0.2771801142
325	0.2771408264
326	0.2770750584
327	0.2767604827
328	0.2767100644
329	0.276627608
330	0.2765555028
331	0.2764932866
332	0.2763516961
333	0.2762968039
334	0.2761250153
335	0.2760915833
336	0.2760326085
337	0.2759971305
338	0.2759306839
339	0.2758635886
340	0.2758125238
341	0.2757933779
342	0.2756205947
343	0.2755785181
344	0.2755083733
345	0.2753981459
346	0.2753539888
347	0.2752916392
348	0.2752575387
349	0.2752014232
350	0.2751526637
351	0.2751224707
352	0.2750506926
353	0.2749796032
354	0.2749265185
355	0.27488735
356	0.2748325935
357	0.2747412641
358	0.2746900949
359	0.2746454948
360	0.2745843997
361	0.2743919367
362	0.2742227068
363	0.274187509
364	0.2739745711
365	0.2737143036
366	0.2736626863
367	0.273606934
368	0.2735641809
369	0.2735227257
370	0.2734690409
371	0.2733588797
372	0.2733130842
373	0.2732259228
374	0.2731601586
375	0.2731109355
376	0.273031198
377	0.2729815403
378	0.2729418247
379	0.2728813489
380	0.2728277212
381	0.2727933906
382	0.2727289555
383	0.2725430415
384	0.2724973852
385	0.2724341196
386	0.272341521
387	0.2722760457
388	0.2722170377
389	0.2721761666
390	0.2721245117
391	0.27198714
392	0.2719587287
393	0.271902706
394	0.2718725883
395	0.271837536
396	0.2717970937
397	0.2717345974
398	0.2716889554
399	0.271654251
400	0.2716209354
401	0.2715194427
402	0.271422552
403	0.2712211101
404	0.2711712423
405	0.2711168619
406	0.2710487621
407	0.2710029589
408	0.2709584748
409	0.2709159596
410	0.2708738474
411	0.2708230886
412	0.270787977
413	0.2707461095
414	0.2707184494
415	0.2706074554
416	0.2705814987
417	0.2705309696
418	0.2704972385
419	0.2704595166
420	0.270370545
421	0.2703067585
422	0.2702577197
423	0.2702198528
424	0.2701628091
425	0.2701224377
426	0.2700797823
427	0.2700478658
428	0.2700082946
429	0.2699082845
430	0.269883532
431	0.2698363815
432	0.2697913009
433	0.2697571182
434	0.269690508
435	0.2696232365
436	0.2695455292
437	0.2695207507
438	0.2694801362
439	0.2694399917
440	0.2694178644
441	0.2693748206
442	0.2693221169
443	0.2691662817
444	0.2691232978
445	0.2690801757
446	0.2690549658
447	0.2690227299
448	0.2690027321
449	0.2689681148
450	0.2689311628
451	0.2688710156
452	0.2688490886
453	0.2688157738
454	0.2687645881
455	0.2687072778
456	0.2686360822
457	0.2685897962
458	0.2685586662
459	0.2685116042
460	0.268323726
461	0.2683113197
462	0.268264412
463	0.2681593473
464	0.2681140418
465	0.2680470405
