iter	Passed	Remaining
0	140	140404
1	150	74886
2	160	53207
3	170	42554
4	180	35899
5	190	31608
6	201	28584
7	211	26167
8	221	24399
9	233	23157
10	245	22039
11	255	21022
12	266	20218
13	274	19361
14	284	18678
15	293	18058
16	305	17659
17	316	17252
18	326	16846
19	336	16473
20	345	16104
21	354	15765
22	363	15443
23	373	15191
24	381	14892
25	389	14604
26	398	14365
27	406	14117
28	414	13888
29	425	13746
30	434	13596
31	443	13429
32	451	13244
33	460	13097
34	468	12923
35	476	12769
36	486	12653
37	495	12541
38	504	12433
39	513	12332
40	522	12231
41	530	12105
42	538	11983
43	546	11881
44	556	11807
45	568	11786
46	577	11705
47	587	11661
48	597	11591
49	609	11576
50	619	11532
51	632	11534
52	643	11490
53	653	11443
54	661	11367
55	672	11332
56	681	11275
57	689	11198
58	698	11146
59	708	11099
60	717	11038
61	724	10966
62	735	10939
63	743	10870
64	752	10819
65	760	10764
66	769	10710
67	780	10690
68	790	10661
69	798	10610
70	806	10554
71	817	10537
72	827	10505
73	836	10466
74	846	10436
75	855	10402
76	864	10363
77	872	10318
78	883	10298
79	892	10260
80	901	10224
81	910	10196
82	922	10190
83	931	10157
84	941	10132
85	950	10101
86	959	10065
87	968	10032
88	977	10002
89	984	9958
90	993	9924
91	1002	9892
92	1011	9867
93	1019	9830
94	1027	9791
95	1037	9772
96	1046	9745
97	1054	9707
98	1063	9675
99	1072	9653
100	1082	9635
101	1093	9624
102	1102	9599
103	1111	9575
104	1120	9551
105	1132	9550
106	1142	9537
107	1152	9520
108	1163	9512
109	1173	9496
110	1183	9474
111	1191	9448
112	1201	9429
113	1216	9453
114	1225	9429
115	1235	9412
116	1247	9412
117	1264	9451
118	1284	9512
119	1293	9485
120	1304	9475
121	1314	9457
122	1327	9467
123	1342	9485
124	1354	9483
125	1365	9469
126	1375	9454
127	1389	9466
128	1400	9456
129	1417	9489
130	1438	9541
131	1458	9589
132	1472	9597
133	1489	9625
134	1499	9605
135	1509	9589
136	1521	9584
137	1530	9562
138	1539	9536
139	1549	9515
140	1564	9533
141	1573	9509
142	1583	9490
143	1593	9471
144	1602	9447
145	1611	9424
146	1623	9419
147	1632	9399
148	1641	9376
149	1650	9352
150	1664	9360
151	1675	9348
152	1702	9427
153	1713	9415
